Year,Month,Price
2015,January,10.30
2015,February,9.91
2015,March,9.85
2015,April,9.69
2015,May,9.58
2015,June,9.58
2015,July,9.95
2015,August,9.71
2015,September,9.05
2015,October,8.81
2015,November,8.68
2015,December,8.76
2016,January,8.71
2016,February,8.51
2016,March,8.56
2016,April,9.01
2016,May,9.76
2016,June,10.20
2016,July,10.20
2016,August,9.93
2016,September,9.41
2016,October,9.30
2016,November,9.47
2016,December,9.64
2017,January,9.71
2017,February,9.86
2017,March,9.69
2017,April,9.33
2017,May,9.29
2017,June,9.10
2017,July,9.42
2017,August,9.24
2017,September,9.35
2017,October,9.18
2017,November,9.22
2017,December,9.30
2018,January,9.30
2018,February,9.50
2018,March,9.81
2018,April,9.85
2018,May,9.84
2018,June,9.55
2018,July,9.08
2018,August,8.59
2018,September,8.78
2018,October,8.59
2018,November,8.36
2018,December,8.56
2019,January,8.64
2019,February,8.52
2019,March,8.52
2019,April,8.28
2019,May,8.02
2019,June,8.31
2019,July,8.38
2019,August,8.22
2019,September,8.35
2019,October,8.60
2019,November,8.59
2019,December,8.70
2020,January,8.84
2020,February,8.60
2020,March,8.47
2020,April,8.35
2020,May,8.28
2020,June,8.34
2020,July,8.50
2020,August,8.66
2020,September,9.24
2020,October,9.63
2020,November,10.30
2020,December,10.60
2021,January,10.90
2021,February,12.70
2021,March,13.20
2021,April,13.90
2021,May,14.80
2021,June,14.50
2021,July,14.10
2021,August,13.70
2021,September,12.20
2021,October,11.90
2021,November,12.10
2021,December,12.50
2022,January,12.90
2022,February,14.70
2022,March,15.40
2022,April,15.80
2022,May,16.10
2022,June,16.40
2022,July,15.50
2022,August,15.30
2022,September,14.20
2022,October,13.50
2022,November,14.00
2022,December,14.40
2023,January,14.50
2023,February,15.10
2023,March,14.90
2023,April,14.90
2023,May,14.40
2023,June,14.20
2023,July,14.70
2023,August,14.10
2023,September,13.20
2023,October,12.70
2023,November,13.00
2023,December,13.10
2024,January,12.80
2024,February,11.90
2024,March,11.80
2024,April,11.80
2024,May,11.90
2024,June,11.80
2024,July,11.30
2024,August,10.30
2024,September,10.20
2024,October,9.91
2024,November,9.84
2024,December,9.79